GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488
8514	562	1124	884	264	363	500
26038	6	10	17	6	10	2
105376687	0	0	0	0	0	0
6146	14189	14303	34574	14919	13487	17204
107985733	101	26	92	49	46	105
102724450	9	7	7	9	7	12
388591	302	385	481	125	189	258
23463	2647	3448	4902	1437	2225	3674
148645	2	4	1	2	7	2
390992	0	0	1	0	1	0
387509	874	978	1951	492	723	1746
11332	667	643	1096	629	962	599
54626	33	339	31	27	80	28
83715	56	123	198	218	93	68
100422975	0	0	0	0	0	0
8718	487	709	1242	603	752	653
57449	1462	2399	3621	885	1362	1945
79707	845	700	1203	553	599	912
80835	2	6	4	3	4	3
107984912	0	1	0	1	1	0
3104	627	930	1511	794	806	855
9903	3132	3196	2958	584	1195	2060
107984913	18	20	38	8	8	18
148479	1025	1616	1206	297	613	833
90326	973	892	1530	1082	997	870
55735	1230	1547	1695	521	889	1457
100505887	0	0	0	0	0	0
110841581	2	1	6	11	6	5
23261	616	667	942	503	633	517
105376692	0	0	0	0	0	0
102725193	0	0	0	1	2	0
101928836	0	4	7	8	2	7
105376691	0	0	0	0	0	0
105376689	20	28	49	24	7	30
9341	4536	3910	6150	2239	2564	3439
8863	321	521	615	120	132	441
10911	56	188	3	43	69	112
3604	23	25	26	23	22	9
11315	5864	4875	11506	6157	7614	6809
54206	3003	4186	2532	474	925	1424
107984915	0	0	1	1	0	1
102724539	1	0	0	0	0	0
105376695	0	2	0	0	0	0
50651	65	95	167	47	89	154
473	2940	5441	4590	1176	2029	3649
102724552	9	5	15	8	10	10
106632271	0	1	0	0	0	0
2023	23602	29963	41364	14566	31645	27995
102465436	3	9	6	0	3	5
100505975	5	9	9	2	8	8
112268261	2	0	3	2	2	1
765	1	0	3	1	2	2
155184	2	1	2	0	3	3
6518	364	90	541	200	348	286
80045	975	468	598	273	406	455
106614088	305	309	417	85	118	245
407040	4	7	5	2	0	2
102724571	17	21	30	10	8	16
9563	10629	7720	13177	6354	4123	5405
80176	6881	4549	6090	1527	1365	2311
100506022	64	32	96	41	44	69
84275	193	232	372	175	148	192
199953	378	448	537	164	229	425
107985734	6	11	14	16	8	11
105376712	0	1	0	0	0	0
5293	1371	1881	2373	1317	818	1035
644997	3	5	5	13	4	1
101929074	12	8	33	23	41	15
22883	13301	12405	13282	3952	5059	9288
56998	601	1092	1554	610	715	1130
105376717	54	112	119	31	49	98
84328	955	973	1753	757	560	1062
64802	429	594	735	339	347	627
113391335	2	1	2	3	3	0
100847055	1	0	0	1	0	1
116362	36	28	60	26	38	21
10277	1332	1634	1739	654	787	1694
23095	1924	3206	2777	952	757	1689
105376725	3	12	10	9	6	1
5226	7255	4563	5868	2914	3743	3559
100526739	132	167	227	79	147	211
378708	144	180	242	147	167	224
1325	9	7	31	11	18	24
1676	1313	1268	1828	754	919	1359
5195	974	1023	1244	413	1112	935
54897	499	1476	1081	211	435	1046
105376733	2	17	12	11	1	23
105376735	0	0	0	2	2	0
148345	19	37	50	33	37	16
23435	4937	5522	8476	3035	3222	4674
10747	64	30	91	68	33	110
6723	1667	1184	2706	1840	1951	1440
5394	1851	2256	3369	1227	1619	2030
105376736	45	78	80	23	15	45
2475	2175	3015	3051	747	1264	2666
100873935	30	48	29	5	7	47
10218	3	1	9	8	4	0
29914	562	694	972	299	364	613
105376737	1	0	1	0	2	1
105376739	1	1	0	0	3	0
105376740	0	1	1	1	3	0
57540	1	3	17	5	7	3
112268221	0	2	0	0	0	0
101929181	0	0	0	0	2	0
26232	47	108	110	53	53	43
93611	390	686	1018	405	449	510
26270	362	408	584	211	306	344
10459	534	722	1307	614	917	722
374946	299	209	537	275	215	418
57085	1939	1597	2928	2402	1817	1399
284498	144	230	284	62	80	333
102724659	0	0	2	0	1	0
4524	712	967	1183	749	617	1294
1185	865	1170	1051	339	447	817
100379251	100	201	138	20	47	114
4878	20	29	46	26	18	35
4879	2	6	1	0	0	1
26829	0	0	0	1	0	0
90231	2483	2499	3969	1899	2432	2414
5351	7647	7302	9697	5995	8556	8095
9927	4709	5282	6792	1757	2706	5772
60672	1208	1171	2318	2173	1549	1069
102466982	3	7	18	2	4	9
943	2475	841	1731	3003	782	1290
102465836	42	52	47	6	3	33
7133	6204	3058	4433	3089	3083	2395
100616438	4	5	2	0	1	0
107984917	28	5	20	14	9	5
55187	5701	9122	8604	3161	3410	7615
677885	40	88	62	8	11	30
105376744	105	61	68	73	22	41
9249	17684	11203	22195	20492	19168	13865
102466722	20	46	37	5	12	20
343066	353	95	154	158	66	149
126767	1	8	0	1	50	0
93190	1	1	12	6	35	13
390999	0	0	0	0	2	0
65121	0	0	0	2	1	0
105376745	0	0	0	0	0	0
440560	0	0	1	0	1	2
343069	1	2	4	0	0	2
65122	1	0	0	1	4	14
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	1	1	1	1	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	1	0	2	0
441873	0	0	1	0	0	0
649324	0	0	0	0	0	0
440563	0	1	3	0	1	1
645354	0	0	0	0	0	0
645359	0	0	1	0	0	0
101060301	0	0	0	0	0	0
343070	0	0	1	1	0	0
400736	0	0	0	0	1	0
391003	0	0	1	1	0	1
343068	0	0	0	0	1	0
391002	1	1	1	1	1	0
645382	0	0	0	0	0	0
653619	0	0	0	0	1	1
729528	0	0	0	0	1	1
645414	0	0	0	0	0	1
391004	0	0	0	0	1	0
645425	0	0	1	0	0	0
126755	69	14	12	24	18	18
102724856	0	0	2	0	3	0
107984918	5	1	1	0	1	1
10630	3500	2754	5049	1961	3161	2245
107984919	2	1	15	0	3	0
105378612	0	0	1	0	0	0
105376756	0	0	1	0	0	0
7799	1550	2305	2495	877	823	1821
23254	854	1071	1283	241	430	988
107985467	5	5	4	12	6	3
107985468	1	2	2	2	1	0
105376762	5	3	7	3	3	0
105376759	9	10	15	16	5	9
107985469	6	1	5	1	2	0
200197	90	137	206	54	46	114
55092	485	623	719	182	390	554
727684	4	4	1	15	11	3
114827	26	23	26	27	42	41
101927417	4	5	15	5	5	6
101927441	8	8	6	5	17	10
79180	1701	2490	3654	1541	2320	2261
11330	2	3	3	5	7	0
63036	0	1	5	1	1	1
105376767	1	3	4	0	1	2
51032	5	13	19	1	5	13
842	750	866	1590	320	638	682
23341	549	854	972	412	368	708
107397391	0	1	1	0	2	1
79814	25	31	45	43	45	46
84301	1579	2232	2083	692	853	1734
6248	167	262	227	53	81	121
23207	4562	5655	6473	1963	3274	3573
284723	176	325	315	81	68	93
110806303	14	19	20	6	8	10
388595	4	3	2	1	9	6
54751	3381	4920	5300	1060	3152	4171
440567	134	146	233	81	191	204
729614	68	114	197	96	93	116
23013	1605	3592	2498	599	1033	2764
7709	1535	1657	2414	840	1267	1244
149563	14	3	16	1	4	2
27129	495	154	571	272	194	231
1187	95	63	102	108	67	51
1188	29	51	16	66	65	40
348487	10	4	22	11	8	3
1969	1552	1369	1426	202	336	706
101927479	48	68	62	26	24	31
128272	708	686	1701	555	448	655
101927546	121	75	137	82	45	84
79363	183	184	299	213	198	254
54455	1168	1498	1919	534	850	1195
26099	3634	3921	5620	1604	2206	3566
374955	2155	2023	3333	1214	1512	1975
55707	2985	3473	5046	1637	2260	2562
107984921	33	42	45	42	14	46
114819	142	276	356	105	123	187
26871	12	9	16	2295	28	18
107985757	0	0	0	0	0	0
100132147	0	1	1	1	0	0
107985758	0	0	0	0	0	0
7195	0	0	0	0	0	0
55672	589	786	1135	328	475	1475
105376794	731	1441	1378	335	277	1105
84809	303	555	711	241	227	531
11209	168	339	231	85	241	128
107985736	3	9	11	3	10	9
26869	12	8	15	2195	26	17
107985759	0	0	0	0	0	0
284729	4	23	2	14	19	13
100189045	0	0	0	1	0	0
6060	1	1	1	139	2	1
11223	82	234	224	66	355	162
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	0	0	1	1	1	0
7193	0	0	1	0	0	0
100189183	0	0	0	0	0	0
105376805	144	78	356	233	191	191
791226	0	0	0	1	1	0
26870	0	2	1	107	2	1
9696	933	1429	2441	766	1344	1830
4237	545	1682	619	67	689	154
105376806	151	415	175	12	136	38
23400	2115	2740	2309	936	1526	2431
6390	1726	1445	2546	937	1265	1640
11240	156	54	69	32	33	63
105376808	0	12	0	0	2	0
400743	3	10	0	0	2	0
29943	107	616	33	4	1190	55
51702	6	4	8	0	2	0
100616188	0	0	1	0	0	0
23569	3	1	4	2	2	0
353238	0	0	3	0	5	1
55920	2531	3602	3795	854	1560	2046
55160	1486	2433	2642	511	1437	1977
107984028	0	0	0	0	1	0
81569	0	0	3	3	3	1
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	3	0
84966	58	92	169	91	94	40
105376814	0	0	2	0	1	2
127707	172	358	132	27	63	295
5081	0	0	4	2	2	0
80834	0	1	3	0	0	0
8659	347	629	824	270	456	746
100616120	0	1	0	0	0	0
100302276	0	0	0	0	0	0
126917	390	519	592	137	193	398
105376815	0	0	0	0	0	0
23352	5286	7879	7783	2306	3647	5443
101927895	65	96	89	31	25	71
23065	1760	2023	2414	1270	1582	2061
51154	866	704	1645	911	889	1004
246181	11	14	24	9	14	34
22977	25	44	87	21	51	55
100506730	31	46	69	33	24	100
8574	1073	1256	2457	1191	1381	1568
54896	719	654	956	659	666	574
832	7913	8300	14497	4975	7269	6935
105376819	2	5	5	1	2	0
105376818	0	1	3	0	0	0
105376817	0	2	0	1	0	0
105378614	0	0	1	0	0	0
440574	1216	1370	2326	1874	1556	1100
100532736	5082	6515	11920	2844	2958	2630
644068	174	133	753	115	139	197
4681	4605	5961	10979	2425	2284	2147
3362	1	2	13	5	11	7
255104	1003	1867	1792	599	1018	1260
54546	11	10	15	4	15	32
105376823	0	0	0	0	0	0
23252	239	544	506	124	253	337
30814	0	0	0	0	1	0
5320	914	3527	7896	159	3557	12357
5322	4	2	14	1	1	18
26279	10	15	18	6	1	3
64600	2	2	0	1	5	3
391013	2	4	6	2	1	4
127733	336	850	1011	343	474	906
101928017	13	39	41	47	58	40
105376825	11	37	42	15	17	42
105376826	0	0	0	1	0	0
105376827	0	0	0	0	0	0
105376828	1	0	0	0	0	0
127731	1	1	10	2	3	6
339505	4	13	11	2	4	4
55450	508	741	1306	151	302	403
79594	1223	1344	2070	660	1244	1697
163933	16	63	86	34	43	53
978	811	791	1004	520	581	566
65018	2154	2816	3427	990	1722	2228
102464833	54	96	83	5	20	55
100861548	2319	2346	3514	2419	1956	2014
1650	9778	8925	13846	5772	8864	10198
57576	57	97	101	32	116	88
400745	28	93	6	8	53	16
112268222	1450	1280	1841	717	586	1045
50809	3689	5129	4770	1122	903	3148
8672	3238	3981	4518	1152	988	2938
105376830	8	1	6	17	4	4
105376829	5	8	2	8	2	3
100302155	0	1	1	3	1	0
1889	22422	13879	21903	6697	8466	9983
100506801	25	19	27	25	13	12
105376832	0	0	0	0	0	0
84224	175	609	408	59	110	192
249	434	253	500	527	265	291
105376834	2	0	0	0	0	0
5909	1412	2970	1712	309	1162	2836
84196	1852	2350	2732	808	975	1777
401944	2295	6063	3778	2934	7815	2905
3339	7582	37014	12333	5065	11599	11123
23436	4	0	2	0	1	0
10136	2	0	4	0	2	0
101928043	11	12	7	5	1	7
29092	255	343	1036	203	224	389
112268223	12	19	52	24	4	16
998	12668	11451	20488	7165	6242	10248
54361	7294	1877	11081	7529	2165	2445
105376845	136	39	157	167	67	46
105376850	3	7	2	2	0	1
107985377	0	0	0	2	1	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	1145	1732	1811	460	686	1359
2046	2	2	5	5	2	0
102466615	0	0	0	0	1	0
712	6954	7543	12893	8344	6379	2661
714	7212	9389	10539	2931	8684	2913
713	6806	5544	9287	5749	6851	2119
2048	336	2057	301	235	433	225
100616391	0	0	0	0	0	1
100422914	3	44	1	3	3	3
646262	0	0	0	1	0	0
729059	0	1	0	0	2	4
23028	2008	3069	3562	1117	1765	2266
100422866	0	0	0	0	0	0
7798	1525	2095	2138	571	694	1407
3352	56	173	201	83	187	233
100996511	202	267	672	148	132	294
10236	4230	5338	7024	1439	1578	4188
80818	555	1503	1078	201	449	1036
148898	80	132	225	40	87	155
6920	227	859	402	401	711	832
55616	1156	3837	2039	670	1772	1640
1870	32	58	109	51	72	55
101928163	1	2	1	1	0	2
105376859	1	1	6	1	3	2
3399	1339	1906	2407	1237	1512	2398
107984928	0	1	1	1	1	0
259283	2	2	5	2	7	0
6135	25464	22019	63074	31774	28349	27126
6924	1552	2174	1981	712	1036	1808
100506963	237	290	355	55	117	280
57095	1551	1538	2090	846	966	1410
105376860	221	254	301	26	152	235
11313	2236	2370	3101	1801	2784	2062
2582	1390	2766	2666	674	1842	2389
3155	1544	1850	2215	1328	1429	1659
105376861	0	3	1	0	1	0
2517	1357	3062	1749	576	841	1673
1269	24	36	34	10	21	27
107984929	1	2	1	0	0	1
100616492	0	0	1	0	0	0
55629	3365	4028	5312	1014	1302	3097
10772	2612	3132	4230	1067	1069	2867
105378615	0	0	0	0	0	0
105376863	0	0	1	1	0	1
107984931	0	1	0	0	1	1
127294	16	11	35	8	17	9
107985737	0	4	0	1	1	0
105376864	0	0	0	0	0	0
58985	45	73	48	14	38	26
163702	68	92	78	15	20	52
284632	0	0	1	0	1	0
105376871	3	3	2	2	0	0
57822	12	12	8	6	17	7
90529	237	318	306	125	199	275
57185	1109	1461	1331	578	707	1683
100750325	3	6	2	2	5	10
11123	307	593	624	122	266	547
100506985	23	42	38	1	11	50
400746	154	339	147	99	219	262
10250	2174	3671	3379	969	1141	2686
25932	10490	11849	15391	3398	3487	8094
105376876	0	0	2	0	0	1
864	820	746	1375	439	574	617
102465437	3	2	0	0	0	0
107984932	1	3	4	3	4	1
105376878	75	74	210	165	88	79
100616365	0	0	0	0	0	0
105376879	0	0	0	1	1	0
25949	1654	2035	3244	1231	1173	1783
57035	5144	5993	8270	1486	2447	5444
105376882	3	3	4	3	1	1
6007	44	56	42	34	41	27
23585	3226	3411	4348	1228	1692	2510
6006	1718	1304	2149	1024	1010	1212
55219	1310	1413	1666	686	736	1182
26119	826	1192	1269	568	588	1014
57134	862	1100	1460	223	380	1063
57190	2777	3752	4398	1557	1585	3299
56181	1571	1513	2326	1359	1107	1504
646471	292	490	471	55	123	440
79000	282	310	422	84	148	312
164091	3639	2277	3327	4142	1351	2947
3925	3362	4591	4842	1553	2064	1546
100500808	161	389	334	17	77	96
105376885	0	1	0	0	0	1
5051	839	1333	1163	384	527	902
101928216	84	59	49	33	46	31
2134	394	147	296	652	102	151
7780	2503	3210	4398	1362	4694	5376
105376910	12	29	13	4	20	15
84676	9	2	2	0	3	0
149420	134	216	372	171	88	217
105376886	0	1	0	0	0	0
79927	144	424	377	204	221	237
110806296	0	0	0	0	2	0
51042	684	458	1111	1194	894	629
10256	431	940	698	271	511	625
378807	1	2	3	0	2	3
101928303	11	29	20	21	6	34
64793	217	533	446	75	122	415
83442	8462	5890	13673	21718	15175	6363
91544	1089	1466	2302	1300	1830	1221
1043	599	684	1328	1175	684	394
55057	98	263	49	32	57	27
257101	836	525	463	658	553	290
79727	0	0	0	0	12	0
79947	1607	2446	2262	1173	1547	2386
101928324	10	13	24	14	7	18
3151	7072	7028	13773	5901	5696	8264
6195	1874	3080	2769	815	1261	1759
100302190	0	4	1	1	1	0
105376888	0	0	0	0	0	1
101928728	6	10	20	7	4	19
8289	1865	3939	3030	1085	999	2534
55650	532	613	878	363	409	719
84243	2143	2192	2695	810	1416	1928
2810	914	1394	974	729	2492	1649
54707	1007	1335	1894	773	1119	1480
63906	516	603	873	537	554	657
10726	3825	3708	5977	3956	4087	3889
8431	1	1	3	1	2	1
126695	163	297	303	89	207	268
388610	1021	520	1625	974	670	1293
115572	66	38	130	70	103	262
101928391	2	9	14	6	5	12
6548	2267	1974	2162	1168	1680	2200
102723760	0	0	0	0	1	0
105376890	0	0	0	1	2	1
23038	1731	2692	2880	708	1170	1911
84065	1194	1140	2009	1168	1382	1200
644961	6	36	16	17	15	22
84958	350	803	780	295	570	522
9064	891	837	1558	582	1066	1521
8547	84	26	77	85	30	30
388611	2	1	9	17	16	7
2827	19	4	10	7	7	7
10163	6638	7739	8432	2520	5418	6408
105376892	7	1	4	5	4	5
27245	1973	1836	1835	809	944	1854
2268	2053	2784	4676	885	1272	2093
111216282	6	1	4	0	3	2
2537	29585	4986	11929	39815	4125	2169
199870	339	393	673	322	272	437
23673	1944	2017	2814	863	851	1829
5511	1278	1466	2460	516	601	1536
677774	2	1	1	0	0	1
9473	1729	1068	1261	543	803	458
6118	1411	1451	2568	1057	851	1380
27293	191	303	159	99	156	343
55113	441	435	917	391	532	483
2140	877	1125	1362	449	520	934
5724	399	457	737	256	230	344
22826	2869	2356	5096	1493	2226	2728
93974	2959	2696	4466	2869	2442	3044
83667	870	1174	1224	629	601	716
54797	437	454	704	570	403	562
65979	1453	2543	1988	860	712	2149
1104	1527	1497	2701	543	1195	1955
8420	1028	516	1303	630	667	910
6080	34	25	21	568	27	22
26768	35	14	32	906	23	26
54952	643	683	1071	625	617	654
85028	508	540	877	290	527	489
692212	35	43	70	28	58	18
677838	65	43	97	26	87	69
677825	37	32	38	8	10	27
692073	41	40	42	9	18	37
115273	79	84	92	13	62	54
6883	839	741	1519	390	613	931
105378616	15	17	39	23	10	14
26824	11	9	28	14	5	6
10691	534	610	753	313	265	482
51441	2389	2577	3494	1500	1228	2629
4985	8	5	12	9	6	1
2035	1133	2700	1945	449	658	1729
399474	668	1634	1989	301	639	1224
6429	3582	5203	5987	1141	3017	3941
51102	461	483	835	419	474	629
10076	1762	1701	5705	1016	1132	2389
101928460	0	0	0	1	2	0
107984933	10	2	14	15	0	6
107984934	18	6	32	37	1	10
101929406	1	8	10	5	8	14
105378617	0	0	1	1	2	2
105378618	0	0	1	0	1	1
4146	14	20	52	5	11	31
100129196	24	28	85	10	25	58
7805	4757	5893	9496	5072	4347	3489
100616164	1	3	6	0	1	0
105378620	24	21	19	25	16	8
105378621	0	0	1	0	1	1
105378622	0	2	5	0	3	1
400748	0	0	2	3	7	0
9672	13101	12054	26013	4144	12654	13987
9698	2057	3674	3127	842	821	2031
692234	8	18	6	0	0	6
692235	3	14	4	4	0	5
692200	0	0	2	0	1	1
107984935	7	2	1	12	7	4
79570	651	543	1636	713	550	225
9410	833	969	1579	506	667	1146
51538	1759	1276	2430	827	946	1365
2170	984	295	690	131	326	297
105378623	2	0	1	0	0	0
107985470	0	0	0	0	0	0
347735	3548	4139	3289	1485	3663	3135
105378625	2	0	2	1	0	2
105379772	8	9	2	6	24	10
149086	5	14	6	3	19	19
284551	18	16	4	8	33	32
105378626	93	73	32	26	66	66
64129	3730	4093	2285	486	817	1854
3061	203	176	386	35	118	196
553115	2196	2033	4319	1655	1795	2085
107985471	97	141	192	8	20	71
105378628	6	0	2	1	1	1
1307	391	527	1163	79	185	302
101929444	9	13	16	4	5	18
576	11	57	59	2	23	18
100423028	0	0	1	0	0	0
90853	371	84	514	106	285	113
8073	5143	5289	8592	3776	3853	5947
10657	3623	4914	6115	2484	2030	3424
55116	565	697	1166	414	529	710
100847018	0	0	0	0	0	0
23633	2661	2952	3255	1241	1191	2382
200081	3615	3922	5011	1898	1765	3688
79140	117	167	255	183	240	242
56063	761	795	1153	671	732	672
55721	79	110	178	107	71	169
149069	116	143	193	111	128	120
8668	4848	4802	7857	3079	4738	5182
339483	819	1007	1319	395	642	790
84734	898	561	704	857	529	466
3932	177	223	253	91	112	99
3065	2788	4167	5143	1325	2853	4618
65108	5341	6513	5139	1328	2957	3522
105378629	7	5	19	2	2	16
81629	127	191	240	120	85	148
100128071	49	69	95	123	103	60
55108	2846	3869	4497	802	1464	3031
728116	7	2	13	6	4	5
653121	414	563	802	242	212	426
102723870	3	11	12	1	2	3
339487	669	491	972	826	503	608
5928	2799	4033	4831	767	1147	3279
81493	995	1036	1659	466	575	925
57648	1890	3670	2779	805	1413	3068
8565	2017	2133	2685	1187	1476	2026
64766	823	1226	1559	505	467	1013
252995	11	15	38	20	15	37
105378631	0	2	1	6	0	1
3208	9	16	30	32	17	19
113452	392	516	935	582	764	603
105378632	2	0	1	0	2	0
127544	947	1087	978	217	402	685
204	2997	3094	5485	2069	2676	3377
105378635	0	0	0	2	0	0
113451	111	76	183	39	75	74
112268224	1	1	4	3	0	2
55223	249	395	337	82	153	294
149076	728	1087	1395	320	550	1039
127550	4	3	4	4	5	3
1912	9967	8260	11117	4443	6992	5697
100500853	267	285	275	11	87	162
101929464	0	0	5	1	2	0
7579	307	341	393	106	102	262
114784	10	28	45	12	23	33
105378638	0	0	0	0	0	0
127540	0	0	1	0	0	0
402779	0	0	0	0	1	0
84970	0	0	3	0	1	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	7	3	11	18	4	2
2709	20	22	12	21	24	38
127534	24	33	24	26	37	30
2707	34	80	10	25	54	29
2701	624	1069	1090	415	589	528
113444	1420	1439	2089	901	1102	1368
58512	22	26	42	12	30	17
653160	84	125	201	58	59	136
100506144	852	981	1704	521	758	1195
9204	643	760	1178	351	300	754
79830	293	447	524	188	143	344
105378644	2	0	1	2	0	1
6421	10804	13460	18842	5391	5352	11307
9202	1577	1972	2331	789	829	1741
100861513	4	27	10	5	3	12
79932	2807	4002	3562	1473	1976	3134
23154	1367	1184	2195	752	962	1486
339488	83	134	183	54	47	111
105378645	12	16	37	11	10	12
5690	2119	1900	3394	1859	1859	2082
105378646	0	0	0	0	0	0
127703	692	584	986	402	543	851
63967	64	101	142	67	64	92
192670	946	1728	1560	381	437	891
